imoveis,IPTU,area_m,IPTU_m,classificacao
Imovel 001,"R$ 6,400.00",173,R$ 36.99,Média
Imovel 002,"R$ 6,460.00",180,R$ 35.89,Média
Imovel 003,"R$ 4,210.00",136,R$ 30.96,Média
Imovel 004,"R$ 7,185.00",189,R$ 38.02,Nobre
Imovel 005,"R$ 9,960.00",249,R$ 40.00,Nobre
Imovel 006,"R$ 6,310.00",169,R$ 37.34,Média
Imovel 007,"R$ 8,985.00",222,R$ 40.47,Nobre
Imovel 008,"R$ 4,895.00",149,R$ 32.85,Média
Imovel 009,"R$ 9,905.00",245,R$ 40.43,Nobre
Imovel 010,"R$ 4,345.00",137,R$ 31.72,Média
Imovel 011,"R$ 5,695.00",156,R$ 36.51,Média
Imovel 012,"R$ 4,120.00",132,R$ 31.21,Média
Imovel 013,"R$ 3,955.00",124,R$ 31.90,Média
Imovel 014,"R$ 7,235.00",199,R$ 36.36,Média
Imovel 015,R$ 765.00,68,R$ 11.25,Popular
Imovel 016,"R$ 6,795.00",185,R$ 36.73,Média
Imovel 017,"R$ 7,765.00",205,R$ 37.88,Média
Imovel 018,"R$ 9,395.00",239,R$ 39.31,Nobre
Imovel 019,"R$ 1,485.00",80,R$ 18.56,Popular
Imovel 020,"R$ 6,245.00",168,R$ 37.17,Média
Imovel 021,"R$ 1,040.00",71,R$ 14.65,Popular
Imovel 022,"R$ 7,940.00",209,R$ 37.99,Média
Imovel 023,R$ 855.00,69,R$ 12.39,Popular
Imovel 024,"R$ 2,575.00",110,R$ 23.41,Popular
Imovel 025,"R$ 3,610.00",123,R$ 29.35,Média
Imovel 026,"R$ 6,935.00",185,R$ 37.49,Média
Imovel 027,"R$ 6,195.00",163,R$ 38.01,Nobre
Imovel 028,R$ 420.00,62,R$ 6.77,Popular
Imovel 029,"R$ 3,175.00",115,R$ 27.61,Média
Imovel 030,"R$ 1,385.00",78,R$ 17.76,Popular
Imovel 031,"R$ 6,685.00",184,R$ 36.33,Média
Imovel 032,"R$ 7,580.00",204,R$ 37.16,Média
Imovel 033,"R$ 8,030.00",209,R$ 38.42,Nobre
Imovel 034,"R$ 8,840.00",220,R$ 40.18,Nobre
Imovel 035,"R$ 8,235.00",211,R$ 39.03,Nobre
